Membership No  Date Joined  Active  
    75422      2020-4-14    no    
    80315      2020-12-19   no    
    84495      2017-1-18    yes   
    55021      2018-2-16    no    
    22564      2019-7-18    yes   
    80333      2018-4-2     yes   
    14745      2020-10-23   yes   
    45847      2016-2-11    no    
    74955      2015-4-16    no    
    73946      2017-11-18   yes   
    22592      2016-5-15    yes   
    22037      2018-9-24    yes   
    90162      2017-6-17    yes   
    86765      2019-2-20    yes   
    85316      2016-10-15   yes   
    15292      2017-11-11   no    
    16378      2020-6-23    yes   
    15564      2016-1-22    no    
    25529      2015-11-9    yes   
    38204      2016-7-3     yes   
