Membership No  Date Joined  Active  
    30376      2018-10-19   yes   
    99522      2019-5-3     yes   
    78644      2017-6-23    no    
    58688      2018-11-25   yes   
    69072      2017-6-2     yes   
    14518      2017-6-22    no    
    14936      2015-11-10   no    
    34077      2019-11-5    no    
    18883      2019-10-6    yes   
    16774      2020-3-8     yes   
    39758      2015-11-17   no    
    52191      2016-11-20   no    
    67613      2019-3-14    yes   
    51584      2020-7-12    no    
    99860      2016-10-12   yes   
    89505      2015-3-18    yes   
    91535      2019-10-4    yes   
    62722      2019-4-22    yes   
    56254      2016-10-1    yes   
    28178      2018-1-1     yes   
